TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
2022-01-01,Saturday,973000,1787000
2022-01-02,Sunday,1119000,2135000
2022-01-03,Monday,1121000,2413000
2022-01-04,Tuesday,1491000,3351000
2022-01-05,Wednesday,1686000,3819000
2022-01-06,Thursday,1690000,3890000
2022-01-07,Friday,1821000,4066000
2022-01-08,Saturday,1532000,2918000
2022-01-09,Sunday,1161000,2383000
2022-01-10,Monday,1717000,4012000
2022-01-11,Tuesday,1852000,4105000
2022-01-12,Wednesday,2021000,4223000
2022-01-13,Thursday,2033000,4224000
2022-01-14,Friday,2127000,4444000
2022-01-15,Saturday,1865000,3431000
2022-01-16,Sunday,1249000,2448000
2022-01-17,Monday,1878000,4226000
2022-01-18,Tuesday,2040000,4302000
2022-01-19,Wednesday,2112000,4320000
2022-01-20,Thursday,2249000,4394000
2022-01-21,Friday,2235000,4490000
2022-01-22,Saturday,2065000,3486000
2022-01-23,Sunday,1404000,2447000
2022-01-24,Monday,1976000,4232000
2022-01-25,Tuesday,2196000,4331000
2022-01-26,Wednesday,2280000,4415000
2022-01-27,Thursday,2382000,4457000
2022-01-28,Friday,2411000,4647000
2022-01-29,Saturday,2144000,3710000
2022-01-30,Sunday,1392000,2643000
2022-01-31,Monday,2149000,4383000
2022-02-01,Tuesday,2411000,4564000
2022-02-02,Wednesday,2458000,4563000
2022-02-03,Thursday,2585000,4583000
2022-02-04,Friday,2507000,4676000
2022-02-05,Saturday,2322000,3684000
2022-02-06,Sunday,1407000,2521000
2022-02-07,Monday,2231000,4468000
2022-02-08,Tuesday,2557000,4593000
2022-02-09,Wednesday,2620000,4638000
2022-02-10,Thursday,2687000,4687000
2022-02-11,Friday,2607000,4729000
2022-02-12,Saturday,2351000,3794000
2022-02-13,Sunday,1580000,2603000
2022-02-14,Monday,2408000,3989000
2022-02-15,Tuesday,2534000,3767000
2022-02-16,Wednesday,2665000,4011000
2022-02-17,Thursday,2802000,4121000
2022-02-18,Friday,1844000,3490000
2022-02-19,Saturday,2252000,3535000
2022-02-20,Sunday,1434000,2453000
2022-02-21,Monday,2294000,4418000
2022-02-22,Tuesday,2784000,4681000
2022-02-23,Wednesday,2911000,4749000
2022-02-24,Thursday,3066000,4723000
2022-02-25,Friday,2936000,4956000
2022-02-26,Saturday,2592000,3944000
2022-02-27,Sunday,1810000,2819000
2022-02-28,Monday,2465000,4634000
2022-03-01,Tuesday,180000,5310000
2022-03-02,Wednesday,2315000,4949000
2022-03-03,Thursday,187000,5321000
2022-03-04,Friday,2479000,5051000
2022-03-05,Saturday,2441000,3886000
2022-03-06,Sunday,1608000,2834000
2022-03-07,Monday,2450000,4630000
2022-03-08,Tuesday,2776000,4785000
2022-03-09,Wednesday,2820000,4792000
2022-03-10,Thursday,2914000,4852000
2022-03-11,Friday,2771000,4863000
2022-03-12,Saturday,2554000,4057000
2022-03-13,Sunday,1792000,2759000
2022-03-14,Monday,2462000,4659000
2022-03-15,Tuesday,2757000,4817000
2022-03-16,Wednesday,2872000,4725000
2022-03-17,Thursday,2996000,4947000
2022-03-18,Friday,2795000,4976000
2022-03-19,Saturday,2604000,4027000
2022-03-20,Sunday,1731000,2854000
2022-03-21,Monday,2431000,4633000
2022-03-22,Tuesday,2781000,4818000
2022-03-23,Wednesday,2887000,4850000
2022-03-24,Thursday,2982000,4889000
2022-03-25,Friday,2846000,5099000
2022-03-26,Saturday,2670000,4261000
2022-03-27,Sunday,1651000,2819000
2022-03-28,Monday,2420000,4515000
2022-03-29,Tuesday,2795000,4650000
2022-03-30,Wednesday,2802000,4765000
2022-03-31,Thursday,2897000,4800000
2022-04-01,Friday,2744000,4917000
2022-04-02,Saturday,2421000,3760000
