DateTime,t1,t2,hum,wind_speed,weather
2024-01-01 00:00:00,8.6,4.8,77.06,30.2,Overcast
2024-01-01 01:00:00,8.1,4.3,78.59,28.1,Overcast
2024-01-01 02:00:00,8.1,4.4,78.04,26.7,Overcast
2024-01-01 03:00:00,8.3,4.8,77.52,25.7,Overcast
2024-01-01 04:00:00,8.6,5.1,71.85,26.3,Partially cloudy
2024-01-01 05:00:00,8.3,4.7,71.78,27.0,Partially cloudy
2024-01-01 06:00:00,8.0,4.2,73.25,28.3,Rain
2024-01-01 07:00:00,7.5,3.9,76.33,24.0,Partially cloudy
2024-01-01 08:00:00,7.1,3.7,79.53,20.7,Clear
2024-01-01 09:00:00,7.0,4.0,78.42,17.0,Clear
2024-01-01 10:00:00,7.6,4.3,75.8,21.2,Clear
2024-01-01 11:00:00,8.3,5.5,73.31,18.5,Clear
2024-01-01 12:00:00,8.8,6.1,72.39,18.5,Clear
2024-01-01 13:00:00,8.6,6.3,70.85,14.6,Partially cloudy
2024-01-01 14:00:00,9.1,7.0,71.95,14.2,Partially cloudy
2024-01-01 15:00:00,9.1,7.3,74.5,11.7,Partially cloudy
2024-01-01 16:00:00,9.0,6.8,79.32,14.6,Overcast
2024-01-01 17:00:00,8.6,6.4,87.3,14.1,"Rain, Overcast"
2024-01-01 18:00:00,9.0,6.4,92.23,17.9,"Rain, Overcast"
2024-01-01 19:00:00,9.3,6.5,92.22,20.2,"Rain, Overcast"
2024-01-01 20:00:00,9.5,6.6,92.23,22.5,"Rain, Overcast"
2024-01-01 21:00:00,9.6,6.8,93.5,21.9,"Rain, Overcast"
2024-01-01 22:00:00,10.1,10.1,94.78,21.4,"Rain, Overcast"
2024-01-01 23:00:00,11.1,11.1,93.57,25.6,"Rain, Overcast"
2024-01-02 00:00:00,11.2,11.2,96.08,26.9,"Rain, Overcast"
2024-01-02 01:00:00,12.1,12.1,93.62,25.2,Overcast
2024-01-02 02:00:00,12.3,12.3,89.39,25.6,Overcast
2024-01-02 03:00:00,12.0,12.0,85.25,27.3,Partially cloudy
2024-01-02 04:00:00,11.6,11.6,82.97,18.5,Overcast
2024-01-02 05:00:00,11.5,11.5,83.53,17.1,Partially cloudy
2024-01-02 06:00:00,11.8,11.8,81.9,17.1,"Rain, Partially cloudy"
2024-01-02 07:00:00,11.6,11.6,85.81,15.9,Overcast
2024-01-02 08:00:00,11.1,11.1,90.51,11.5,Overcast
2024-01-02 09:00:00,11.0,11.0,94.19,11.0,"Rain, Overcast"
2024-01-02 10:00:00,11.1,11.1,94.82,18.4,"Rain, Overcast"
2024-01-02 11:00:00,12.3,12.3,94.86,21.2,"Rain, Overcast"
2024-01-02 12:00:00,12.5,12.5,93.65,28.0,"Rain, Overcast"
2024-01-02 13:00:00,12.8,12.8,92.42,32.0,"Rain, Overcast"
2024-01-02 14:00:00,13.6,13.6,84.91,32.5,"Rain, Overcast"
2024-01-02 15:00:00,12.5,12.5,86.48,40.4,Overcast
2024-01-02 16:00:00,11.8,11.8,69.06,58.7,Overcast
2024-01-02 17:00:00,11.5,11.5,72.92,52.7,Partially cloudy
2024-01-02 18:00:00,11.5,11.5,71.91,44.5,Overcast
2024-01-02 19:00:00,11.0,11.0,75.37,42.0,Overcast
2024-01-02 20:00:00,11.1,11.1,72.31,39.4,Overcast
2024-01-02 21:00:00,11.0,11.0,71.79,32.8,Overcast
2024-01-02 22:00:00,10.6,10.6,73.73,28.8,Partially cloudy
2024-01-02 23:00:00,10.6,10.6,75.8,26.8,Overcast
2024-01-03 00:00:00,10.6,10.6,74.76,25.8,Overcast
2024-01-03 01:00:00,9.6,6.8,78.82,21.1,Partially cloudy
2024-01-03 02:00:00,9.8,7.2,80.52,19.9,Partially cloudy
2024-01-03 03:00:00,9.8,7.6,80.51,16.5,Partially cloudy
2024-01-03 04:00:00,9.8,7.1,81.6,21.3,Partially cloudy
2024-01-03 05:00:00,10.1,10.1,78.88,25.7,Overcast
2024-01-03 06:00:00,9.6,6.7,81.01,22.5,Partially cloudy
2024-01-03 07:00:00,9.3,6.5,78.79,20.2,Partially cloudy
2024-01-03 08:00:00,9.3,6.9,79.88,16.6,Partially cloudy
2024-01-03 09:00:00,10.0,10.0,79.45,17.1,Partially cloudy
2024-01-03 10:00:00,10.5,10.5,78.97,19.5,Partially cloudy
2024-01-03 11:00:00,11.8,11.8,71.48,22.3,Partially cloudy
2024-01-03 12:00:00,11.1,11.1,76.42,15.6,Partially cloudy
2024-01-03 13:00:00,10.5,10.5,83.39,19.1,Partially cloudy
2024-01-03 14:00:00,11.3,11.3,75.37,25.6,Partially cloudy
2024-01-03 15:00:00,11.0,11.0,73.81,26.5,Partially cloudy
2024-01-03 16:00:00,10.6,10.6,74.8,20.0,"Rain, Partially cloudy"
2024-01-03 17:00:00,10.5,10.5,77.9,22.7,Partially cloudy
2024-01-03 18:00:00,9.6,6.9,86.76,20.5,"Rain, Overcast"
2024-01-03 19:00:00,9.3,6.6,89.11,19.8,"Rain, Overcast"
2024-01-03 20:00:00,8.8,5.8,92.17,21.2,"Rain, Partially cloudy"
2024-01-03 21:00:00,9.1,6.2,90.33,20.7,Overcast
2024-01-03 22:00:00,9.1,6.4,86.7,19.0,Overcast
2024-01-03 23:00:00,9.1,6.4,84.37,18.9,Partially cloudy
2024-01-04 00:00:00,8.6,5.9,88.47,17.8,"Rain, Overcast"
2024-01-04 01:00:00,8.6,6.0,86.67,17.1,Partially cloudy
2024-01-04 02:00:00,8.6,5.7,87.26,19.6,Overcast
2024-01-04 03:00:00,8.8,6.0,84.35,19.0,Overcast
2024-01-04 04:00:00,8.6,5.7,82.59,19.5,Partially cloudy
2024-01-04 05:00:00,7.6,4.2,85.38,22.2,Clear
2024-01-04 06:00:00,7.0,3.9,85.91,17.8,Clear
2024-01-04 07:00:00,6.5,4.0,85.86,12.7,Clear
2024-01-04 08:00:00,6.1,3.4,86.44,13.4,Clear
2024-01-04 09:00:00,6.1,3.8,87.02,11.4,Clear
2024-01-04 10:00:00,7.1,4.9,82.4,11.6,Clear
2024-01-04 11:00:00,8.3,6.9,77.55,8.7,Clear
2024-01-04 12:00:00,8.6,7.4,76.01,8.1,Clear
2024-01-04 13:00:00,8.6,7.7,76.01,6.9,Clear
2024-01-04 14:00:00,8.6,7.4,77.07,8.1,Partially cloudy
2024-01-04 15:00:00,9.0,7.2,76.61,11.8,"Rain, Overcast"
2024-01-04 16:00:00,8.3,6.7,87.25,10.0,"Rain, Overcast"
2024-01-04 17:00:00,8.0,5.3,89.06,16.4,"Rain, Overcast"
2024-01-04 18:00:00,7.8,4.8,92.14,19.1,"Rain, Overcast"
2024-01-04 19:00:00,7.8,4.5,95.33,22.1,"Rain, Overcast"
2024-01-04 20:00:00,8.3,5.6,95.34,17.3,"Rain, Overcast"
2024-01-04 21:00:00,8.6,6.1,96.0,16.4,"Rain, Overcast"
2024-01-04 22:00:00,8.6,6.1,96.65,16.0,"Rain, Overcast"
2024-01-04 23:00:00,7.6,4.8,93.38,16.6,"Rain, Overcast"
2024-01-05 00:00:00,6.8,3.3,92.05,21.4,"Rain, Overcast"
2024-01-05 01:00:00,6.0,2.1,92.03,23.1,"Rain, Overcast"
2024-01-05 02:00:00,5.8,1.4,90.11,27.6,"Rain, Overcast"
2024-01-05 03:00:00,5.8,1.6,85.81,25.4,"Rain, Overcast"
2024-01-05 04:00:00,5.5,1.8,88.85,19.9,"Rain, Overcast"
2024-01-05 05:00:00,5.6,1.7,94.58,21.7,"Rain, Overcast"
2024-01-05 06:00:00,6.0,2.2,90.75,22.1,Overcast
2024-01-05 07:00:00,6.1,2.6,88.27,19.0,Overcast
2024-01-05 08:00:00,6.1,2.7,87.05,18.5,Overcast
2024-01-05 09:00:00,6.0,2.8,87.63,16.6,"Rain, Partially cloudy"
2024-01-05 10:00:00,6.1,3.0,87.03,16.6,Overcast
2024-01-05 11:00:00,6.8,3.9,82.96,16.2,Overcast
2024-01-05 12:00:00,7.3,4.8,81.3,14.2,Overcast
2024-01-05 13:00:00,7.5,4.8,79.08,16.0,Overcast
2024-01-05 14:00:00,7.6,5.0,79.64,15.5,Overcast
