TravelDate,DayOfWeek,TubeJourneyCount,BusJourneyCount
20220101,Saturday,973000,1787000
20220102,Sunday,1119000,2135000
20220103,Monday,1121000,2413000
20220104,Tuesday,1491000,3351000
20220105,Wednesday,1686000,3819000
20220106,Thursday,1690000,3890000
20220107,Friday,1821000,4066000
20220108,Saturday,1532000,2918000
20220109,Sunday,1161000,2383000
20220110,Monday,1717000,4012000
20220111,Tuesday,1852000,4105000
20220112,Wednesday,2021000,4223000
20220113,Thursday,2033000,4224000
20220114,Friday,2127000,4444000
20220115,Saturday,1865000,3431000
20220116,Sunday,1249000,2448000
20220117,Monday,1878000,4226000
20220118,Tuesday,2040000,4302000
20220119,Wednesday,2112000,4320000
20220120,Thursday,2249000,4394000
20220121,Friday,2235000,4490000
20220122,Saturday,2065000,3486000
20220123,Sunday,1404000,2447000
20220124,Monday,1976000,4232000
20220125,Tuesday,2196000,4331000
20220126,Wednesday,2280000,4415000
20220127,Thursday,2382000,4457000
20220128,Friday,2411000,4647000
20220129,Saturday,2144000,3710000
20220130,Sunday,1392000,2643000
20220131,Monday,2149000,4383000
20220201,Tuesday,2411000,4564000
20220202,Wednesday,2458000,4563000
20220203,Thursday,2585000,4583000
20220204,Friday,2507000,4676000
20220205,Saturday,2322000,3684000
20220206,Sunday,1407000,2521000
20220207,Monday,2231000,4468000
20220208,Tuesday,2557000,4593000
20220209,Wednesday,2620000,4638000
20220210,Thursday,2687000,4687000
20220211,Friday,2607000,4729000
20220212,Saturday,2351000,3794000
20220213,Sunday,1580000,2603000
20220214,Monday,2408000,3989000
20220215,Tuesday,2534000,3767000
20220216,Wednesday,2665000,4011000
20220217,Thursday,2802000,4121000
20220218,Friday,1844000,3490000
20220219,Saturday,2252000,3535000
20220220,Sunday,1434000,2453000
20220221,Monday,2294000,4418000
20220222,Tuesday,2784000,4681000
20220223,Wednesday,2911000,4749000
20220224,Thursday,3066000,4723000
20220225,Friday,2936000,4956000
20220226,Saturday,2592000,3944000
20220227,Sunday,1810000,2819000
20220228,Monday,2465000,4634000
20220301,Tuesday,180000,5310000
20220302,Wednesday,2315000,4949000
20220303,Thursday,187000,5321000
20220304,Friday,2479000,5051000
20220305,Saturday,2441000,3886000
20220306,Sunday,1608000,2834000
20220307,Monday,2450000,4630000
20220308,Tuesday,2776000,4785000
20220309,Wednesday,2820000,4792000
20220310,Thursday,2914000,4852000
20220311,Friday,2771000,4863000
20220312,Saturday,2554000,4057000
20220313,Sunday,1792000,2759000
20220314,Monday,2462000,4659000
20220315,Tuesday,2757000,4817000
20220316,Wednesday,2872000,4725000
20220317,Thursday,2996000,4947000
20220318,Friday,2795000,4976000
20220319,Saturday,2604000,4027000
20220320,Sunday,1731000,2854000
20220321,Monday,2431000,4633000
20220322,Tuesday,2781000,4818000
20220323,Wednesday,2887000,4850000
20220324,Thursday,2982000,4889000
20220325,Friday,2846000,5099000
20220326,Saturday,2670000,4261000
20220327,Sunday,1651000,2819000
20220328,Monday,2420000,4515000
20220329,Tuesday,2795000,4650000
20220330,Wednesday,2802000,4765000
20220331,Thursday,2897000,4800000
20220401,Friday,2744000,4917000
20220402,Saturday,2421000,3760000
20220403,Sunday,1858000,2794000
20220404,Monday,2374000,3922000
20220405,Tuesday,2666000,4156000
20220406,Wednesday,2783000,4095000
20220407,Thursday,2897000,4194000
20220408,Friday,2648000,4294000
20220409,Saturday,2536000,3839000
20220410,Sunday,1723000,2872000
20220411,Monday,2488000,4049000
20220412,Tuesday,2793000,4158000
20220413,Wednesday,2841000,4217000
20220414,Thursday,2879000,4385000
20220415,Friday,2067000,3696000
20220416,Saturday,2202000,3803000
20220417,Sunday,1574000,2687000
20220418,Monday,1522000,2953000
