DateTime,t1,t2,hum,wind_speed,weather
2022-01-01 00:00:00,13.5,13.5,90.68,18.1,Partially cloudy
2022-01-01 01:00:00,13.6,13.6,91.88,19.6,Overcast
2022-01-01 02:00:00,13.5,13.5,91.27,21.5,Overcast
2022-01-01 03:00:00,13.3,13.3,91.85,20.2,Overcast
2022-01-01 04:00:00,13.3,13.3,89.46,18.6,Partially cloudy
2022-01-01 05:00:00,13.5,13.5,88.3,17.8,Partially cloudy
2022-01-01 06:00:00,13.5,13.5,88.3,15.9,"Rain, Partially cloudy"
2022-01-01 07:00:00,13.3,13.3,86.56,20.2,Partially cloudy
2022-01-01 08:00:00,13.3,13.3,82.08,19.6,Partially cloudy
2022-01-01 09:00:00,13.3,13.3,79.38,22.2,Partially cloudy
2022-01-01 10:00:00,14.3,14.3,71.0,22.8,Partially cloudy
2022-01-01 11:00:00,15.1,15.1,66.96,25.4,Partially cloudy
2022-01-01 12:00:00,16.1,16.1,67.63,23.3,Partially cloudy
2022-01-01 13:00:00,15.0,15.0,71.11,20.7,Partially cloudy
2022-01-01 14:00:00,14.6,14.6,75.44,19.5,Partially cloudy
2022-01-01 15:00:00,14.6,14.6,76.97,24.1,Overcast
2022-01-01 16:00:00,13.8,13.8,82.14,20.1,Partially cloudy
2022-01-01 17:00:00,14.0,14.0,81.09,19.1,Partially cloudy
2022-01-01 18:00:00,13.3,13.3,84.85,20.0,Partially cloudy
2022-01-01 19:00:00,13.3,13.3,86.55,19.9,Overcast
2022-01-01 20:00:00,13.3,13.3,86.54,20.4,Partially cloudy
2022-01-01 21:00:00,13.5,13.5,85.44,19.9,Overcast
2022-01-01 22:00:00,13.1,13.1,87.1,17.8,Overcast
2022-01-01 23:00:00,13.3,13.3,86.55,16.6,Partially cloudy
2022-01-02 00:00:00,13.3,13.3,87.7,17.0,"Rain, Overcast"
2022-01-02 01:00:00,13.3,13.3,87.7,18.6,Partially cloudy
2022-01-02 02:00:00,13.1,13.1,85.97,13.9,Partially cloudy
2022-01-02 03:00:00,13.0,13.0,88.26,14.1,Overcast
2022-01-02 04:00:00,12.6,12.6,93.02,15.9,Partially cloudy
2022-01-02 05:00:00,12.5,12.5,92.39,20.0,"Rain, Partially cloudy"
2022-01-02 06:00:00,12.3,12.3,89.37,23.1,"Rain, Partially cloudy"
2022-01-02 07:00:00,12.0,12.0,83.57,27.0,Partially cloudy
2022-01-02 08:00:00,11.6,11.6,82.97,20.5,Partially cloudy
2022-01-02 09:00:00,11.1,11.1,85.75,20.4,Partially cloudy
2022-01-02 10:00:00,11.6,11.6,80.2,24.8,Partially cloudy
2022-01-02 11:00:00,12.1,12.1,78.65,21.6,Partially cloudy
