ds,t1,hum,wind_speed,is_holiday,is_weekend,season
2024-01-01,8.6375,80.26333333,21.2875,1,0,3
2024-01-02,11.67083333,83.88666667,28.92916667,0,0,3
2024-01-03,10.00833333,80.65833333,20.75416667,0,0,3
2024-01-04,7.9875,86.28125,14.98333333,0,0,3
2024-01-05,6.625,84.81625,15.67083333,0,0,3
2024-01-06,6.1,79.43333333,9.7625,0,1,3
2024-01-07,3.979166667,69.60833333,15.25,0,1,3
2024-01-08,3.058333333,65.635,17.57916667,0,0,3
2024-01-09,2.866666667,66.4575,21.64166667,0,0,3
2024-01-10,3.1,63.74125,15.2125,0,0,3
2024-01-11,3.225,81.99041667,11.8,0,0,3
2024-01-12,5.458333333,79.46125,12.32083333,0,0,3
2024-01-13,3.2625,82.59083333,8.558333333,0,1,3
2024-01-14,4.4125,80.4225,12.14583333,0,1,3
2024-01-15,0.975,67.13166667,11.05416667,0,0,3
2024-01-16,0.070833333,70.99583333,7.704166667,0,0,3
2024-01-17,1.254166667,76.475,8.9625,0,0,3
2024-01-18,-0.425,67.98208333,9.945833333,0,0,3
2024-01-19,0.370833333,78.27625,9.8,0,0,3
2024-01-20,4.008333333,70.3425,18.275,0,1,3
2024-01-21,9.495833333,78.94,32.53333333,0,1,3
2024-01-22,10.075,73.51375,32.64583333,0,0,3
2024-01-23,9.504166667,85.24,24.1125,0,0,3
2024-01-24,10.95833333,68.0225,28.37083333,0,0,3
2024-01-25,9.979166667,87.97625,14.57916667,0,0,3
2024-01-26,9.0875,68.26541667,20.54583333,0,0,3
2024-01-27,4.95,81.84083333,9.416666667,0,1,3
2024-01-28,6.983333333,82.40666667,11.375,0,1,3
2024-01-29,10.77916667,87.32416667,12.84583333,0,0,3
2024-01-30,9.079166667,77.51375,16.7,0,0,3
2024-01-31,8.816666667,72.4875,17.8125,0,0,3
2024-02-01,7.6875,69.85375,11.2375,0,0,3
2024-02-02,9.8375,82.89458333,21.57083333,0,0,3
2024-02-03,12.1125,83.56166667,22.4125,0,1,3
2024-02-04,11.89583333,85.11166667,25.33333333,0,1,3
2024-02-05,10.55833333,74.93041667,27.54166667,0,0,3
2024-02-06,12.57916667,76.16416667,31.12083333,0,0,3
2024-02-07,5.9125,87.03375,9.158333333,0,0,3
2024-02-08,7.929166667,92.02666667,15.375,0,0,3
2024-02-09,11.125,89.77916667,20.175,0,0,3
2024-02-10,9.8875,87.17875,8.920833333,0,1,3
2024-02-11,8.870833333,82.43708333,11.09583333,0,1,3
2024-02-12,6.658333333,75.02791667,12.69583333,0,0,3
2024-02-13,8.479166667,85.87625,17.34166667,0,0,3
2024-02-14,12.6375,88.33958333,19.05416667,0,0,3
2024-02-15,13.89166667,80.74208333,14.7,0,0,3
2024-02-16,11.80833333,79.2025,15.7875,0,0,3
2024-02-17,11.33333333,84.63541667,14.925,0,1,3
2024-02-18,12.35,84.70333333,16.74166667,0,1,3
2024-02-19,10.24583333,79.10166667,14.50416667,0,0,3
2024-02-20,9.2375,83.39166667,16.94583333,0,0,3
2024-02-21,10.47916667,86.72291667,22.15416667,0,0,3
2024-02-22,8.154166667,88.11708333,19.375,0,0,3
2024-02-23,5.783333333,81.38416667,14.4125,0,0,3
2024-02-24,5.025,83.5875,5.7875,0,1,3
2024-02-25,5.1875,88.69583333,14.41666667,0,1,3
2024-02-26,7.083333333,70.76,27.55,0,0,3
2024-02-27,6.558333333,74.38833333,10.675,0,0,3
2024-02-28,9.4875,86.15708333,14.225,0,0,3
2024-02-29,9.4375,86.6275,15.87916667,0,0,3
2024-03-01,5.825,81.45041667,18.38333333,0,0,0
2024-03-02,5.920833333,82.65333333,15.3875,0,1,0
2024-03-03,5.345833333,78.02208333,5.4375,0,1,0
2024-03-04,6.795833333,75.28875,13.70416667,0,0,0
2024-03-05,8.1875,82.095,8.304166667,0,0,0
2024-03-06,7.920833333,82.25583333,5.65,0,0,0
2024-03-07,8.033333333,79.98333333,15.61666667,0,0,0
2024-03-08,7.5125,74.555,17.92916667,0,0,0
2024-03-09,9.8,73.23958333,15.69166667,0,1,0
2024-03-10,8.6125,93.08875,7.641666667,0,1,0
2024-03-11,8.1125,87.51416667,10.6375,0,0,0
2024-03-12,10.37916667,90.46375,15.35416667,0,0,0
2024-03-13,12.05416667,81.26625,19.24583333,0,0,0
2024-03-14,12.12916667,81.04333333,17.54166667,0,0,0
2024-03-15,12.8625,78.32791667,21.60416667,0,0,0
2024-03-16,10.19583333,69.11541667,11.29166667,0,1,0
2024-03-17,12.30833333,86.37,13.3,0,1,0
2024-03-18,11.675,81.62,14.6125,0,0,0
2024-03-19,11.87916667,82.3175,16.84166667,0,0,0
2024-03-20,13.5875,73.95583333,7.741666667,0,0,0
2024-03-21,12.48333333,77.01333333,12.69166667,0,0,0
2024-03-22,10.33333333,72.63833333,14.60833333,0,0,0
2024-03-23,7.566666667,64.295,23.43333333,0,1,0
2024-03-24,8.891666667,61.68375,18.77916667,0,1,0
2024-03-25,9.179166667,69.15708333,13.6625,0,0,0
2024-03-26,10.21666667,73.1,10.56666667,0,0,0
2024-03-27,8.179166667,77.8525,18.98333333,0,0,0
2024-03-28,8.683333333,78.29833333,26.625,0,0,0
2024-03-29,10.25,74.7675,19.59583333,1,0,0
2024-03-30,9.995833333,70.26625,8.604166667,0,1,0
2024-03-31,9.47826087,84.3473913,15.80869565,0,1,0
2024-04-01,10.725,75.68916667,13.57083333,1,0,0
2024-04-02,11.04583333,79.10083333,17.45,0,0,0
2024-04-03,11.85833333,79.59416667,22.39583333,0,0,0
2024-04-04,12.62083333,80.69625,21.3875,0,0,0
2024-04-05,14.37916667,76.84375,23.15416667,0,0,0
2024-04-06,16.525,65.13958333,25.27916667,0,1,0
2024-04-07,13.70833333,64.59208333,29.85416667,0,1,0
2024-04-08,13.0125,75.15208333,14.67083333,0,0,0
2024-04-09,10.3125,68.08666667,29.67083333,0,0,0
2024-04-10,9.945833333,81.20041667,19.20833333,0,0,0
2024-04-11,14.95833333,81.88291667,17.75,0,0,0
2024-04-12,15.1625,69.01875,19.72083333,0,0,0
2024-04-13,15.76666667,68.29333333,19.13333333,0,1,0
2024-04-14,11.94166667,59.50416667,15.14166667,0,1,0
2024-04-15,9.725,63.42333333,30.64166667,0,0,0
2024-04-16,10.15833333,64.88083333,21.04166667,0,0,0
2024-04-17,8.55,63.68375,16.15833333,0,0,0
2024-04-18,9.708333333,60.44083333,16.275,0,0,0
2024-04-19,10.63333333,73.02333333,19.09583333,0,0,0
2024-04-20,8.2125,56.84666667,15.0375,0,1,0
2024-04-21,8.570833333,60.13833333,16.0875,0,1,0
2024-04-22,7.8125,67.92791667,8.975,0,0,0
2024-04-23,8.2125,74.65958333,10.44583333,0,0,0
2024-04-24,8.158333333,56.66791667,12.425,0,0,0
2024-04-25,7.845833333,72.07958333,9.158333333,0,0,0
2024-04-26,9.083333333,62.36833333,8.345833333,0,0,0
2024-04-27,8.633333333,83.77791667,14.85416667,0,1,0
2024-04-28,9.170833333,80.9475,16.97083333,0,1,0
2024-04-29,11.65,66.64958333,18.60833333,0,0,0
2024-04-30,13.73333333,65.89625,14.74166667,0,0,0
2024-05-01,14.39583333,83.725,6.766666667,0,0,0
2024-05-02,13.325,85.38083333,14.22916667,0,0,0
2024-05-03,10.85416667,87.455,18.3625,0,0,0
2024-05-04,12.60833333,72.615,8.529166667,0,1,0
2024-05-05,12.7375,75.41166667,7.608333333,0,1,0
2024-05-06,12.42083333,89.8475,7.3375,1,0,0
2024-05-07,15.00833333,71.96375,11.175,0,0,0
2024-05-08,14.84166667,72.10708333,7.25,0,0,0
2024-05-09,17.00416667,66.65708333,7.591666667,0,0,0
2024-05-10,17.55416667,64.98291667,7.825,0,0,0
2024-05-11,16.275,72.5375,13.00833333,0,1,0
2024-05-12,19.21666667,62.88625,10.87083333,0,1,0
2024-05-13,15.7375,73.40333333,16.7875,0,0,0
2024-05-14,15.6375,77.75291667,14.49166667,0,0,0
2024-05-15,16.64166667,69.6625,11.1375,0,0,0
2024-05-16,14.1875,89.15041667,5.5625,0,0,0
2024-05-17,16.3375,70.43958333,6.65,0,0,0
2024-05-18,15.72083333,78.11958333,7.6875,0,1,0
2024-05-19,16.94583333,63.51625,12.0875,0,1,0
2024-05-20,15.6375,67.05833333,12.26666667,0,0,0
2024-05-21,13.49166667,87.115,9.9125,0,0,0
2024-05-22,14.00833333,93.98166667,16.425,0,0,0
2024-05-23,14.59583333,73.04708333,17.95833333,0,0,0
2024-05-24,14.49583333,63.555,9.6125,0,0,0
2024-05-25,15.7,64.0675,7.925,0,1,0
2024-05-26,15.625,74.53791667,16.24166667,0,1,0
2024-05-27,13.77916667,72.78333333,17.1,1,0,0
2024-05-28,14.225,87.41208333,17.13333333,0,0,0
2024-05-29,16.45416667,68.82291667,18.01666667,0,0,0
2024-05-30,15.14583333,70.01041667,15.14166667,0,0,0
2024-05-31,13.6,74.25416667,19.54166667,0,0,0
2024-06-01,13.35,71.48208333,18.25416667,0,1,1
2024-06-02,16.875,60.08666667,11.75416667,0,1,1
2024-06-03,16.96666667,70.01958333,8.170833333,0,0,1
2024-06-04,17.05416667,73.0525,15.14583333,0,0,1
2024-06-05,13.23333333,59.93583333,12.9125,0,0,1
